"Timestamp","How would you rate the ease of use and navigation of the chatbot's interface? (Scale: 1-10)","Did the chatbot provide accurate and relevant responses to your queries? (Yes/No)","Were there any instances where the chatbot misunderstood your complex questions? (Yes/No)","Were you satisfied with the chatbot's response time? (Yes/No)","How would you rate the promptness of the chatbot's responses? (Scale: 1-10)","How would you rate the politeness and friendliness of the chatbot's tone? (Scale: 1-10)","Did the chatbot's polite and friendly tone contribute to a positive user experience? (Yes/No)"
"2023/08/24 11:21:24 PM GMT+1","10","Yes","No","Yes","10","10","Yes"
"2023/09/15 7:00:16 PM GMT+1","1","Yes","Yes","Yes","","10","Yes"
"2023/09/15 7:05:33 PM GMT+1","9","Yes","No","Yes","9","10","Yes"
"2023/09/15 7:15:58 PM GMT+1","9","Yes","No","Yes","7","10","Yes"
"2023/09/15 7:19:07 PM GMT+1","9","Yes","No","Yes","9","9","Yes"
"2023/09/15 7:33:03 PM GMT+1","9","Yes","Yes","Yes","7","9","Yes"
"2023/09/15 7:35:51 PM GMT+1","2","Yes","Yes","No","4","2","Yes"
"2023/09/15 10:19:40 PM GMT+1","10","Yes","No","Yes","9","9","Yes"
"2023/09/16 10:44:48 AM GMT+1","9","Yes","Yes","Yes","9","10","Yes"
"2023/09/16 11:17:38 AM GMT+1","9","Yes","Yes","Yes","9","10","Yes"
